time_s,x+,x-,y+,y-,z+,z-,OBC,EPS,COMMS,CAMERA,ADCS
0.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01
4.999999999999999112e+00,2.117185003444386737e+01,2.018953602375766110e+01,1.973381781580039629e+01,2.023169750047279791e+01,1.973088369051764701e+01,1.973562067477264392e+01,2.002408703371797216e+01,2.002381017981188904e+01,2.001218231575630568e+01,2.000969063060154340e+01,2.001328973138065237e+01
9.999999999999998224e+00,2.231219585006941131e+01,2.037428641908157800e+01,1.947519269373363215e+01,2.045747621154554707e+01,1.946355825496910796e+01,1.948246402556260648e+01,2.005018922623533228e+01,2.004963735797725732e+01,2.002645889113797040e+01,2.002149207681527088e+01,2.002866636417028801e+01
1.500000000000000000e+01,2.342179315471641843e+01,2.055440621376369492e+01,1.922395277236661926e+01,2.067753004586028709e+01,1.919800236466609178e+01,1.924044592416413479e+01,2.007823640518142483e+01,2.007741134990249776e+01,2.004275902818745436e+01,2.003533353067708944e+01,2.004605924930317329e+01
1.999999999999999645e+01,2.450138228014566621e+01,2.073004501904919650e+01,1.897992981889626307e+01,2.089204650414276543e+01,1.893419495079321280e+01,1.900948308453496338e+01,2.010816039529276367e+01,2.010706396818243746e+01,2.006101402954858770e+01,2.005114618555562345e+01,2.006539973798991028e+01
2.499999999999999645e+01,2.555168819122359736e+01,2.090134717160516331e+01,1.874295913384919743e+01,2.110120686402585122e+01,1.867211518793489233e+01,1.878949301196561805e+01,2.013989496514680155e+01,2.013852896933351033e+01,2.008115714517517958e+01,2.006886318285554083e+01,2.008662112842835867e+01
3.000000000000000000e+01,2.657342064063157494e+01,2.106845190572777327e+01,1.851287947275971035e+01,2.130518637226160195e+01,1.841174249014927611e+01,1.858039396640649343e+01,2.017337577585690767e+01,2.017174200248821236e+01,2.010312352100294930e+01,2.008841956068468093e+01,2.010965861447773761e+01
3.499999999999999289e+01,2.756727432893452701e+01,2.123149352051959582e+01,1.828953297010501444e+01,2.150415443168874674e+01,1.815305650712650376e+01,1.838210492692928355e+01,2.020854033083827161e+01,2.020664055916046564e+01,2.012685014869253308e+01,2.010975220359226512e+01,2.013444923540376763e+01
3.999999999999999289e+01,2.853392906980584698e+01,2.139060154215258436e+01,1.807276506539863803e+01,2.169827478305874990e+01,1.789603712042914907e+01,1.819454555728397338e+01,2.024532792663318403e+01,2.024316392407036602e+01,2.015227581643200594e+01,2.013279979336664738e+01,2.016093182668328510e+01
4.500000000000000000e+01,2.947404996018381240e+01,2.154590088133175385e+01,1.786242443134819169e+01,2.188770568182410869e+01,1.764066443981287335e+01,1.801763617251439697e+01,2.028367960478390941e+01,2.028125312701654437e+01,2.017934106078718770e+01,2.015750276088089876e+01,2.018904697185665853e+01
4.999999999999999289e+01,3.038828755511702084e+01,2.169751198607344733e+01,1.765836290398914699e+01,2.207260006999268853e+01,1.738691879962519238e+01,1.785129770659693804e+01,2.032353810474149824e+01,2.032085089578443515e+01,2.020798811958799135e+01,2.018380323897446971e+01,2.021873695541622951e+01
5.499999999999999289e+01,3.127727804704116110e+01,2.184555098991115685e+01,1.746043541471106764e+01,2.225310574315217593e+01,1.713478075528051647e+01,1.769545168106855115e+01,2.036484781779856235e+01,2.036190161007857213e+01,2.023816088583891215e+01,2.021164501635898603e+01,2.024994571671888366e+01
6.000000000000000000e+01,3.214164344921743321e+01,2.199012985564061040e+01,1.726849992409749390e+01,2.242936551276839197e+01,1.688423107980953830e+01,1.755002017461185559e+01,2.040755474203404773e+01,2.040435125646678216e+01,2.026980486264164227e+01,2.024097349253625922e+01,2.028261880491071167e+01
6.500000000000000000e+01,3.298199178305340240e+01,2.213135651471469245e+01,1.708241735750492296e+01,2.260151736386116994e+01,1.663525076048115281e+01,1.741492579356630088e+01,2.045160643825776248e+01,2.044814738432426893e+01,2.030286711911761799e+01,2.027173563371619380e+01,2.031670333485159219e+01
6.999999999999998579e+01,3.379891726902003057e+01,2.226933500239730890e+01,1.690205154231056284e+01,2.276969460816093971e+01,1.638782099549510818e+01,1.729009164333598036e+01,2.049695198694238130e+01,2.049323906276507401e+01,2.033729624731816443e+01,2.030387992972239886e+01,2.035214794402739713e+01
7.499999999999998579e+01,3.459300052087365884e+01,2.240416558878395747e+01,1.672726914676236376e+01,2.293402603284872043e+01,1.614192319074370729e+01,1.717544130066577068e+01,2.054354194613044626e+01,2.053957683854856953e+01,2.037304232010977856e+01,2.033735635187289859e+01,2.038890275043728550e+01
7.999999999999998579e+01,3.536480874288908893e+01,2.253594490579528298e+01,1.655793962036842970e+01,2.309463604498146694e+01,1.589753895664083316e+01,1.707089878675893502e+01,2.059132831030365196e+01,2.058711269494826723e+01,2.041005685002187064e+01,2.037211631182335836e+01,2.042691931144343798e+01
8.500000000000000000e+01,3.611489592980870356e+01,2.266476607024830159e+01,1.639393513576641581e+01,2.325164481170400066e+01,1.565465010501670662e+01,1.697638854121026597e+01,2.064026447020167510e+01,2.063580001157010457e+01,2.044829274904414262e+01,2.040811262136001147e+01,2.046615058357043182e+01
9.000000000000000000e+01,3.684380306921331538e+01,2.279071880310835496e+01,1.623513053201670786e+01,2.340516839634780766e+01,1.541323864607676697e+01,1.689183539673021528e+01,2.069030517357748167e+01,2.068559352510732552e+01,2.048770428936066423e+01,2.044529945312923758e+01,2.050655088324129949e+01
9.499999999999998579e+01,3.755205834602272574e+01,2.291388954502326314e+01,1.608140325926619596e+01,2.355531889051603400e+01,1.517328678542311593e+01,1.681716455463638837e+01,2.074140648687609456e+01,2.073644929101868328e+01,2.052824706500744512e+01,2.048363230229075427e+01,2.054807584843709378e+01
9.999999999999998579e+01,3.824017734883717168e+01,2.303436156823940095e+01,1.593263332473233795e+01,2.370220454225285778e+01,1.493477692113707000e+01,1.675230156108987245e+01,2.079352575782341717e+01,2.078832464611683406e+01,2.056987795444032230e+01,2.052306794908107435e+01,2.059068240126666538e+01
1.049999999999999858e+02,3.890866327783569290e+01,2.315221508499763203e+01,1.578870323995994696e+01,2.384592988039436179e+01,1.469769164092131852e+01,1.669717228405489351e+01,2.084662157891179746e+01,2.084117817205337175e+01,2.061255508399962366e+01,2.056356442227382786e+01,2.063432871143332292e+01
1.099999999999999858e+02,3.955800715395328382e+01,2.326752735250541093e+01,1.564949796930550541e+01,2.398659583519664551e+01,1.446201371930028756e+01,1.665170289096115752e+01,2.090065375176868301e+01,2.089496965968704245e+01,2.065623779225813195e+01,2.060508096352337404e+01,2.067897416058470483e+01
1.149999999999999858e+02,4.018868802906490600e+01,2.338037277457936014e+01,1.551490487960639264e+01,2.412429985533576726e+01,1.422772611487731176e+01,1.661581982704922211e+01,2.095558325239477071e+01,2.094966007432136479e+01,2.070088659523862518e+01,2.064757799257804649e+01,2.072457930753222755e+01
1.200000000000000000e+02,4.080117319691228772e+01,2.349082300005105850e+01,1.538481369099448237e+01,2.425913602137264036e+01,1.399481196764728885e+01,1.658944979438011558e+01,2.101137219725775651e+01,2.100521152179797113e+01,2.074646315248721606e+01,2.069101707334920803e+01,2.077110585432634693e+01
1.250000000000000000e+02,4.139591840451719662e+01,2.359894701802667072e+01,1.525911642881578523e+01,2.439119515577459296e+01,1.376325459636350068e+01,1.657251973149114832e+01,2.106798381022790778e+01,2.106158721543164347e+01,2.079293023398860285e+01,2.073536088082224538e+01,2.081851661317366364e+01
1.300000000000000000e+02,4.197336806383356844e+01,2.370481125008948453e+01,1.513770737661969967e+01,2.452056492958394429e+01,1.353303749595731098e+01,1.656495679368081042e+01,2.112538239034138954e+01,2.111875144377319913e+01,2.084025168790920901e+01,2.078057316879550243e+01,2.086677547418197776e+01
1.349999999999999716e+02,4.253395546340003364e+01,2.380847963953235080e+01,1.502048303018339048e+01,2.464732996582230484e+01,1.330414433500951787e+01,1.656668833390628848e+01,2.118353328037730776e+01,2.117666953918606865e+01,2.088839240915420348e+01,2.082661873843309763e+01,2.091584737391915283e+01
1.399999999999999716e+02,4.307810297976376290e+01,2.391001373770527394e+01,1.490734205253847655e+01,2.477157193971791216e+01,1.307655895327216200e+01,1.657764188427793073e+01,2.124240283623437975e+01,2.123530784722251497e+01,2.093731830872426869e+01,2.087346340761751051e+01,2.096569826477173137e+01
1.449999999999999716e+02,4.360622228845629422e+01,2.400947278756153125e+01,1.479818522996891161e+01,2.489336967584164384e+01,1.285026535923958058e+01,1.659774513813564312e+01,2.130195839709303485e+01,2.129463369678524032e+01,2.098699628385792337e+01,2.092107398108779037e+01,2.101629508508910504e+01
1.499999999999999716e+02,4.411871457431198706e+01,2.410691380448385601e+01,1.469291542895048508e+01,2.501279924223583961e+01,1.262524772776760429e+01,1.662692593269295926e+01,2.136216825634876315e+01,2.135461537106030505e+01,2.103739418894521052e+01,2.096941822134912670e+01,2.106760573009903936e+01
1.549999999999999716e+02,4.461597074092986759e+01,2.420239165447031482e+01,1.459143755400380194e+01,2.512993404161845135e+01,1.240149039773975659e+01,1.666511223223503890e+01,2.142300163330247287e+01,2.141522207920702670e+01,2.108848080719858231e+01,2.101846482033963426e+01,2.111959902358034569e+01
1.599999999999999716e+02,4.509837161908969705e+01,2.429595912975777239e+01,1.449365850643398268e+01,2.524484489974333457e+01,1.217897786977937358e+01,1.671223211185756341e+01,2.148442864559365262e+01,2.147642392879069462e+01,2.114022582306663978e+01,2.106818337184006396e+01,2.117224469027846112e+01
1.650000000000000000e+02,4.556628817394339137e+01,2.438766702195891867e+01,1.439948714393163165e+01,2.535760015099601716e+01,1.195769480400660179e+01,1.676821374173408685e+01,2.154642028236209583e+01,2.153819189894381836e+01,2.119259979537662630e+01,2.111854434461223562e+01,2.122551332904970067e+01
1.700000000000000000e+02,4.602008171081307353e+01,2.447756419278708506e+01,1.430883424101079449e+01,2.546826572130251876e+01,1.173762601783923643e+01,1.683298537189987343e+01,2.160894837812397640e+01,2.160049781424181603e+01,2.124557413119139682e+01,2.116951905625202812e+01,2.127937638672001697e+01
1.750000000000000000e+02,4.646010407943708032e+01,2.456569764244125409e+01,1.422161245026079435e+01,2.557690520842718485e+01,1.151875648383638406e+01,1.690647531754093436e+01,2.167198558734817126e+01,2.166331431927882534e+01,2.129912106036668717e+01,2.122107964774266264e+01,2.133380613264403891e+01
1.800000000000000000e+02,4.688669787651516430e+01,2.465211257572186909e+01,1.413773626438989695e+01,2.568357995973390118e+01,1.130107132758400645e+01,1.698861194477732539e+01,2.173550535971858721e+01,2.172661485392965020e+01,2.135321361079461866e+01,2.127319905869426364e+01,2.138877563395034542e+01
1.850000000000000000e+02,4.730019664641421429e+01,2.473685246594635601e+01,1.405712197903974570e+01,2.578834914748336260e+01,1.108455582562135433e+01,1.707932365693045540e+01,2.179948191606854380e+01,2.179037362928366761e+01,2.140782558431932259e+01,2.132585100325554350e+01,2.144425873145879535e+01
1.899999999999999716e+02,4.770092507990507613e+01,2.481995911673147148e+01,1.397968765635048705e+01,2.589126984173748625e+01,1.086919540340741364e+01,1.717853888126448680e+01,2.186389022497314016e+01,2.185456560423679306e+01,2.146293153331067316e+01,2.137900994668365584e+01,2.150023001625602959e+01
1.949999999999999716e+02,4.808919921081081128e+01,2.490147272170787218e+01,1.390535308925737112e+01,2.599239708094037482e+01,1.065497563332639253e+01,1.728618605619238124e+01,2.192870597998571469e+01,2.191916646272748181e+01,2.151850673788225521e+01,2.143265108255828721e+01,2.155666480691514764e+01
1.999999999999999716e+02,4.846532661045573320e+01,2.498143192223069065e+01,1.383403976650044243e+01,2.609178394024365488e+01,1.044188223273144800e+01,1.740219361893769801e+01,2.199390557750455599e+01,2.198415259160303137e+01,2.157452718373971123e+01,2.148675031062614948e+01,2.161353912734575289e+01
2.049999999999999716e+02,4.882960657981366381e+01,2.505987386314811616e+01,1.376567083832975236e+01,2.618948159764244821e+01,1.022990106202573735e+01,1.752648999364348725e+01,2.205946609525615543e+01,2.204950105910241120e+01,2.163096954064572586e+01,2.154128421526215931e+01,2.167082968526066011e+01
2.099999999999999716e+02,4.918233033926232167e+01,2.513683424668843713e+01,1.370017108288922891e+01,2.628553939798654326e+01,1.001901812277996839e+01,1.765900357992021696e+01,2.212536527138139419e+01,2.211518959394199868e+01,2.168781114148808342e+01,2.159623004453368011e+01,2.172851385124561219e+01
2.149999999999999716e+02,4.952378121585940818e+01,2.521234738452437441e+01,1.363746687326307594e+01,2.638000491492986299e+01,9.809219555885668740e+00,1.779966274182487140e+01,2.219158148411112919e+01,2.218119656499079184e+01,2.174502996193724513e+01,2.165156568985435470e+01,2.178656963841854832e+01
2.199999999999999716e+02,4.985423482806385209e+01,2.528644624807181884e+01,1.357748614516919083e+01,2.647292401087971925e+01,9.600491639743324868e+00,1.794839579726387768e+01,2.225809373201786201e+01,2.224750096152162016e+01,2.180260460068013728e+01,2.170726966621411336e+01,2.184497568266505496e+01
2.249999999999999716e+02,5.017395926783358817e+01,2.535916251707878999e+01,1.352015836528470949e+01,2.656434089500576334e+01,9.392820788484657513e+00,1.810513100781276208e+01,2.232488161483023603e+01,2.231408237402525785e+01,2.186051426021685629e+01,2.176332109297220896e+01,2.190371122343671573e+01
2.299999999999999716e+02,5.048321528003874903e+01,2.543052662655859564e+01,1.346541450018941433e+01,2.665429817936717072e+01,9.186193550228274773e+00,1.826979656894584991e+01,2.239192531479730164e+01,2.238092097557426285e+01,2.191873872820728764e+01,2.181969967520008780e+01,2.196275608509939303e+01
2.349999999999999716e+02,5.078225643913627607e+01,2.550056781211990042e+01,1.341318698591321379e+01,2.674283693321486055e+01,8.980596605367937357e+00,1.844232060066956436e+01,2.245920557858959654e+01,2.244799750372365210e+01,2.197725835935465000e+01,2.187638568556130281e+01,2.202209065881837802e+01
2.400000000000000000e+02,5.107132932305891870e+01,2.556931415374484473e+01,1.336340969807446655e+01,2.682999673552433961e+01,8.776016764892755617e+00,1.862263113855325258e+01,2.252670369972429043e+01,2.251529324293564827e+01,2.203605405781322801e+01,2.193335994671557287e+01,2.208169588496775049e+01
2.449999999999999716e+02,5.135067368427807821e+01,2.563679261806490217e+01,1.331601792259639971e+01,2.691581572581310411e+01,8.572440968738597178e+00,1.881065612515175900e+01,2.259440150150178894e+01,2.258279000751586807e+01,2.209510726010764614e+01,2.199060381423446131e+01,2.214155323605129411e+01
2.500000000000000000e+02,5.162052261800635478e+01,2.570302909918277479e+01,1.327094832698931448e+01,2.700033065329519744e+01,8.369856284170007044e+00,1.900632340181415358e+01,2.266228132044135890e+01,2.265047012504855672e+01,2.215439991855132718e+01,2.204809916001621062e+01,2.220164470012249680e+01
2.549999999999999716e+02,5.188110272751139007e+01,2.576804845808727151e+01,1.322813893218668468e+01,2.708357692442410780e+01,8.168249904192034450e+00,1.920956070087343193e+01,2.273032599020350730e+01,2.271831642031857257e+01,2.221391448515178624e+01,2.210582835618748376e+01,2.226195276469148965e+01
2.600000000000000000e+02,5.213263428651848130e+01,2.583187456070666599e+01,1.318752908492371745e+01,2.716558864887376146e+01,7.967609145991223052e+00,1.942029563821211369e+01,2.279851882598707391e+01,2.278631219970808175e+01,2.227363389599076982e+01,2.216377425947992208e+01,2.232246040110671004e+01
2.650000000000000000e+02,5.237533139868459386e+01,2.589453031464483956e+01,1.314905943064726657e+01,2.724639868400609544e+01,7.767921449405227108e+00,1.963845570619898240e+01,2.286684360938909677e+01,2.285444123605601874e+01,2.233354155606724945e+01,2.222192019606966085e+01,2.238315104939951894e+01
2.699999999999999432e+02,5.260940215413170051e+01,2.595603770464306947e+01,1.311267188694635699e+01,2.732603867787227614e+01,7.569174375420364420e+00,1.986396826699246887e+01,2.293528457371578355e+01,2.292268775396869884e+01,2.239362132459167753e+01,2.228024994686803950e+01,2.244400860357997374e+01
2.750000000000000000e+02,5.283504878303182295e+01,2.601641782680921366e+01,1.307830961749297671e+01,2.740453911079337956e+01,7.371355604696529618e+00,2.009676054620630836e+01,2.300382638973306371e+01,2.299103641556995115e+01,2.245385750071990927e+01,2.233874773325205254e+01,2.250501739737229911e+01
2.799999999999999432e+02,5.305246780624090519e+01,2.607569092165467595e+01,1.304591700648300900e+01,2.748192933556503448e+01,7.174452936118906443e+00,2.033675962693331130e+01,2.307245415184539183e+01,2.305947230667956305e+01,2.251423480971548230e+01,2.239739820322318664e+01,2.256616219037873350e+01
2.850000000000000000e+02,5.326185018298281904e+01,2.613387640597839834e+01,1.301543963356760081e+01,2.755823761632933255e+01,6.978454285375821797e+00,2.058389244412343544e+01,2.314115336469171780e+01,2.312798092340885248e+01,2.257473838952918044e+01,2.245618641798354176e+01,2.262742815466058133e+01
2.899999999999999432e+02,5.346338145558862465e+01,2.619099290363593724e+01,1.298682424926544066e+01,2.763349116615601275e+01,6.783347683562303665e+00,2.083808577931226580e+01,2.320990993014763504e+01,2.319654815916243962e+01,2.263535377778489277e+01,2.251509783891827965e+01,2.268880086172561406e+01
2.950000000000000000e+02,5.365724189130007460e+01,2.624705827523057522e+01,1.296001875084676591e+01,2.770771618337377973e+01,6.589121275808651923e+00,2.109926625569644898e+01,2.327871013472306672e+01,2.326516029203556357e+01,2.269606689916109943e+01,2.257411831497371679e+01,2.275026626991104806e+01
2.999999999999999432e+02,5.384360662114966090e+01,2.630208964676214833e+01,1.293497215868014294e+01,2.778093788669142228e+01,6.395763319933636559e+00,2.136736033355255060e+01,2.334754063734487772e+01,2.333380397259632133e+01,2.275686405315741823e+01,2.263323407042051727e+01,2.281181071215160117e+01
3.050000000000000000e+02,5.402264577593281558e+01,2.635610343726840199e+01,1.291163459303330185e+01,2.785318054914726815e+01,6.203262185121656280e+00,2.164229430599620585e+01,2.341638845751418430e+01,2.340246621204258304e+01,2.281773190223592351e+01,2.269243169299164720e+01,2.287342088412227170e+01
3.099999999999999432e+02,5.419452461929075326e+01,2.640911538549245563e+01,1.288995725131955439e+01,2.792446753092434264e+01,6.011606350623489803e+00,2.192399429507826625e+01,2.348524096382814008e+01,2.347113437072345121e+01,2.287865746032708003e+01,2.275169812238500455e+01,2.293508383274577866e+01
3.150000000000000000e+02,5.435940367792537842e+01,2.646114057560895461e+01,1.286989238578154371e+01,2.799482131106757876e+01,5.820784404480003005e+00,2.221238624821512175e+01,2.355408586285640737e+01,2.353979614701532341e+01,2.293962808169042589e+01,2.281102063912081235e+01,2.299678694505470133e+01
3.199999999999999432e+02,5.451743886896992564e+01,2.651219346204054972e+01,1.285139328160425087e+01,2.806426351813830422e+01,5.630785042268461105e+00,2.250739593495015001e+01,2.362291118836246895e+01,2.360843956654287012e+01,2.300063145012026311e+01,2.287038685374399094e+01,2.305851793739860156e+01
3.249999999999999432e+02,5.466878162454167978e+01,2.656228789339526841e+01,1.283441423544942417e+01,2.813281495984017866e+01,5.441597065870850791e+00,2.280894894404370277e+01,2.369170529086037646e+01,2.367705297173539236e+01,2.306165556848680609e+01,2.292978469636210903e+01,2.312026484498666790e+01
3.300000000000000000e+02,5.481357901350504847e+01,2.661143713555445345e+01,1.281891053440374151e+01,2.820049565164980621e+01,5.253209382263845484e+00,2.311697068088880513e+01,2.376045682749755628e+01,2.374562501170930773e+01,2.312268874860358636e+01,2.298920240650950220e+01,2.318201601175650950e+01
3.349999999999999432e+02,5.495197386047518506e+01,2.665965389393996432e+01,1.280483843533324517e+01,2.826732484448415050e+01,5.065611002329911905e+00,2.343138636525009844e+01,2.382915475225461677e+01,2.381414463246755986e+01,2.318371960141186605e+01,2.304862852332850309e+01,2.324376008056002618e+01
3.400000000000000000e+02,5.508410486209446333e+01,2.670695033498849469e+01,1.279215514463667880e+01,2.833332105143606583e+01,4.878791039689100550e+00,2.375212102932353275e+01,2.389778830645320795e+01,2.388260106740714761e+01,2.324473702747328119e+01,2.310805187605888378e+01,2.330548598365745860e+01
3.449999999999999432e+02,5.521010670061522063e+01,2.675333810685991054e+01,1.278081879839062474e+01,2.839850207360808909e+01,4.692738709551163012e+00,2.407909951611432220e+01,2.396634700956323627e+01,2.395098382812598103e+01,2.330573020776190418e+01,2.316746157482674562e+01,2.336718293351086118e+01
3.500000000000000000e+02,5.533011015482409078e+01,2.679882835940570374e+01,1.277078844287939852e+01,2.846288502507398377e+01,4.507443327587473902e+00,2.441224647813095672e+01,2.403482065030093651e+01,2.401928269552060513e+01,2.336668859474726290e+01,2.322684700172440841e+01,2.342884041386853156e+01
3.549999999999999432e+02,5.544424220834432049e+01,2.684343176342279236e+01,1.276202401550284904e+01,2.852648635699641488e+01,4.322894308822454512e+00,2.475148637639280480e+01,2.410319927800946616e+01,2.408748771116643894e+01,2.342760190376000295e+01,2.328619780217290725e+01,2.349044817113204076e+01
3.600000000000000000e+02,5.555262615535365001e+01,2.688715852921715310e+01,1.275448632605536581e+01,2.858932188092837734e+01,4.139081166543979506e+00,2.509674347974927855e+01,2.417147319431389363e+01,2.415558916897244046e+01,2.348846010463201139e+01,2.334550387655906434e+01,2.355199620599776367e+01
3.649999999999999432e+02,5.565538170375631211e+01,2.693001842450089356e+01,1.274813703836949941e+01,2.865140679132512957e+01,3.955993511232500204e+00,2.544794186450813456e+01,2.423963294504265775e+01,2.422357760710218955e+01,2.354925341360316793e+01,2.340475537213909263e+01,2.361347476536497680e+01
3.700000000000000000e+02,5.575262507584881178e+01,2.697202079164566868e+01,1.274293865231774880e+01,2.871275568729254246e+01,3.773621049508370628e+00,2.580500541437101703e+01,2.430766931240777140e+01,2.429144380015377891e+01,2.360997228548685101e+01,2.346394267520107846e+01,2.367487433450274281e+01
3.749999999999999432e+02,5.584446910651960394e+01,2.701317456431463881e+01,1.273885448616619698e+01,2.877338259359696693e+01,3.591953583097133418e+00,2.616785782067383437e+01,2.437557330743614514e+01,2.435917875159079315e+01,2.367060740608675218e+01,2.352305640347874416e+01,2.373618562946808552e+01
3.799999999999999432e+02,5.593102333902364620e+01,2.705348828349432821e+01,1.273584865927377052e+01,2.883330098096100613e+01,3.410981007812266874e+00,2.653642258293008993e+01,2.444333616264476561e+01,2.442677368641713898e+01,2.373114968485757359e+01,2.358208739880909377e+01,2.379739958976800551e+01
3.849999999999999432e+02,5.601239411837339333e+01,2.709297011294719937e+01,1.273388607513107296e+01,2.889252378566871471e+01,3.230693312555155572e+00,2.691062300967488596e+01,2.451094932495242062e+01,2.449422004408845055e+01,2.379159024780240372e+01,2.364102672002682226e+01,2.385850737125821297e+01
3.899999999999999432e+02,5.608868468238795657e+01,2.713162785410494138e+01,1.273293240473277521e+01,2.895106342850308678e+01,3.051080578331849313e+00,2.729038221960761490e+01,2.457840444882105047e+01,2.456150947165309972e+01,2.385192043059981515e+01,2.369986563608839347e+01,2.391950033927155062e+01
